datetime,temp,humidity,feelslike,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir
01/01/2021 00:00,16,86.88,16,0,0,,0,0,11.5,4.1,250
01/01/2021 01:00,16.4,90.02,16.4,0,0,,0,0,11.9,4.1,184
01/01/2021 02:00,15.7,90.02,15.7,0,0,,0,0,11.9,7.4,270
01/01/2021 03:00,15.8,90.99,15.8,0,0,,0,0,11.5,1.8,324
01/01/2021 04:00,14.8,94.85,14.8,0,0,,0,0,11.2,3.5,20
01/01/2021 05:00,14,98.75,14,0,0,,0,0,10.4,4.7,30
01/01/2021 06:00,13.8,95.31,13.8,0,0,,0,0,9.7,2.9,10
01/01/2021 07:00,14.7,97.11,14.7,0,0,,0,0,9.7,3.5,57
01/01/2021 08:00,18.8,75.16,18.8,0,0,,0,0,10.8,10.4,141
01/01/2021 09:00,20.2,68.06,20.2,0,0,,0,0,11.2,9,161
01/01/2021 10:00,21,66.39,21,0,0,,0,0,13,12.8,204
01/01/2021 11:00,21.5,61.06,21.5,0,0,,0,0,16.6,14.7,220
01/01/2021 12:00,22.7,55.98,22.7,0,0,,0,0,19.4,15.9,217
01/01/2021 13:00,22.9,53.38,22.9,0,0,,,0,21.2,16.3,220
01/01/2021 14:00,23,56.48,23,0,0,,,0,22.3,16.3,220
01/01/2021 15:00,23,56.67,23,0,0,,,0,23,16.3,230
01/01/2021 16:00,24.1,56.2,24.1,0,0,,,0,23,22,220
01/01/2021 17:00,23.9,60.91,23.9,0,0,,,0,22.7,22,230
01/01/2021 18:00,22,67.84,22,0,0,,0,0,22,20.2,220
01/01/2021 19:00,21.8,68.98,21.8,0,0,,0,0,20.5,14.9,232
01/01/2021 20:00,20.8,69.9,20.8,0,0,,0,0,19.1,14.5,230
01/01/2021 21:00,19.1,81.74,19.1,0,0,,0,0,17.3,9.2,210
01/01/2021 22:00,18.1,86.54,18.1,0,0,,0,0,13.3,5.3,150
01/01/2021 23:00,17.9,83.62,17.9,0,0,,0,0,10.8,3.5,110
02/01/2021 00:00,18,87.5,18,0,0,,0,0,9.4,0,0
02/01/2021 01:00,17.8,88.79,17.8,0,0,,0,0,9.4,3.5,30
02/01/2021 02:00,18,88.19,18,0,0,,0,0,10.1,3.5,70
02/01/2021 03:00,18,88.83,18,0,0,,0,0,12.2,7.4,40
02/01/2021 04:00,18.1,87.21,18.1,0,0,,0,0,15.5,1.8,90
02/01/2021 05:00,17.9,88.86,17.9,0,0,,0,0,14.8,5.3,20
02/01/2021 06:00,18.1,92.44,18.1,0,0,,0,0,11.9,7.4,40
02/01/2021 07:00,19,88.13,19,0,0,,0,0,11.9,11,20
02/01/2021 08:00,19.1,92.44,19.1,0,0,,0,0,16.6,11,10
02/01/2021 09:00,20.1,82.49,20.1,0,0,,0,0,18.4,9.2,340
02/01/2021 10:00,20.9,84.14,20.9,0,0,,0,0,18.7,5.3,340
02/01/2021 11:00,22,73.67,22,0,0,,0,0,23.4,5.3,10
02/01/2021 12:00,21,78.46,21,3.834,100,rain,0,0,24.8,5.3,340
02/01/2021 13:00,22.9,69.76,22.9,0,0,,,0,25.6,12.8,270
02/01/2021 14:00,24,69.47,24,0,0,,,0,27,9.2,160
02/01/2021 15:00,23,73.41,23,0,0,,,0,26.3,18.1,220
02/01/2021 16:00,22,69.31,22,0,0,,,0,24.5,14.5,240
02/01/2021 17:00,21,78.51,21,0,0,,,0,23,16.3,40
02/01/2021 18:00,19.9,88.71,19.9,0.374,100,rain,0,0,20.9,16.3,10
02/01/2021 19:00,19,93.88,19,0.383,100,rain,0,0,20.9,11,360
02/01/2021 20:00,18.9,93.9,18.9,0,0,,0,0,13.7,7.4,340
02/01/2021 21:00,18.1,98.31,18.1,0,0,,0,0,12.6,7.4,10
02/01/2021 22:00,17.9,95.02,17.9,0,0,,0,0,10.1,5.3,50
02/01/2021 23:00,17.1,98.59,17.1,0,0,,0,0,9,5.3,30
03/01/2021 00:00,17.1,99.3,17.1,0.083,100,rain,0,0,9.4,1.8,90
03/01/2021 01:00,17.1,98.85,17.1,0.192,100,rain,0,0,8.6,5.3,70
03/01/2021 02:00,17,99.31,17,0,0,,0,0,7.9,9.2,50
03/01/2021 03:00,17,99.54,17,0,0,,0,0,11.2,5.3,20
03/01/2021 04:00,17,99.54,17,0,0,,0,0,13.7,5.3,80
03/01/2021 05:00,16.9,99.77,16.9,0,0,,0,0,15.5,3.5,40
03/01/2021 06:00,16.9,99.54,16.9,0,0,,0,0,17.6,5.3,50
03/01/2021 07:00,17.8,95.73,17.8,0.192,100,rain,0,0,19.1,3.5,20
03/01/2021 08:00,18.9,95.1,18.9,0,0,,0,0,20.2,9.2,30
03/01/2021 09:00,20.1,88.45,20.1,0,0,,0,0,20.2,12.8,10
03/01/2021 10:00,21.1,77.84,21.1,0,0,,0,0,18.7,12.8,360
03/01/2021 11:00,22.9,73.29,22.9,0,0,,0,0,18.7,12.8,350
03/01/2021 12:00,22.1,73.1,22.1,0.025,100,rain,0,0,22.3,12.8,340
03/01/2021 13:00,22,77.24,22,0,0,,,0,28.1,14.5,20
03/01/2021 14:00,21,77.87,21,0,0,,,0,30.2,22,10
03/01/2021 15:00,22,72.8,22,0,0,,,0,29.5,20.2,10
03/01/2021 16:00,21,87.94,21,0,0,,,0,28.1,16.3,360
03/01/2021 17:00,20.1,88.27,20.1,0,0,,,0,28.1,16.3,360
03/01/2021 18:00,20.2,86.57,20.2,0.958,100,rain,0,0,25.2,16.3,30
03/01/2021 19:00,20,87.05,20,0,0,,0,0,17.6,5.3,360
03/01/2021 20:00,19.9,84.14,19.9,0,0,,0,0,15.5,7.4,10
03/01/2021 21:00,18.8,83.31,18.8,0,0,,0,0,15.8,3.5,70
03/01/2021 22:00,18.9,89.23,18.9,0,0,,0,0,15.8,3.5,20
03/01/2021 23:00,19,93.31,19,0,0,,0,0,14,11,20
04/01/2021 00:00,19,92.91,19,0.958,100,rain,0,0,13.3,14.5,20
04/01/2021 01:00,18.8,89.34,18.8,0,0,,0,0,13.3,12.8,30
04/01/2021 02:00,18,94.39,18,0,0,,0,0,12.6,9.2,40
04/01/2021 03:00,18.9,93.36,18.9,0,0,,0,0,11.5,9.2,20
04/01/2021 04:00,18.8,89.79,18.8,0,0,,0,0,11.5,5.3,350
04/01/2021 05:00,18.1,93.96,18.1,0,0,,0,0,9.4,1.8,50
04/01/2021 06:00,17.1,99.3,17.1,0,0,,0,0,7.6,1.8,70
04/01/2021 07:00,17.1,99.31,17.1,0,0,,0,0,7.2,3.5,30
04/01/2021 08:00,18.1,98.81,18.1,0,0,,0,0,10.1,5.3,20
04/01/2021 09:00,20,88.79,20,0,0,,0,0,13,7.4,30
04/01/2021 10:00,21.1,76.75,21.1,0,0,,0,0,14,5.3,20
04/01/2021 11:00,21.9,74.13,21.9,0,0,,0,0,15.8,11,260
04/01/2021 12:00,22.8,73.6,22.8,0,0,,0,0,18,14.5,210
04/01/2021 13:00,24,64.99,24,0,0,,,0,20.9,7.4,220
04/01/2021 14:00,24.1,64.58,24.1,0,0,,,0,22.7,11,230
04/01/2021 15:00,26.1,47.61,26.1,0,0,,,0,23.8,14.5,360
04/01/2021 16:00,25.9,48.12,25.9,0,0,,,0,23.8,12.8,10
04/01/2021 17:00,24.1,57.42,24.1,0,0,,,0,22.3,12.8,210
04/01/2021 18:00,24.9,61.54,24.9,0,0,,0,0,22,12.8,200
04/01/2021 19:00,24.1,63.93,24.1,0,0,,0,0,20.5,14.5,230
04/01/2021 20:00,23.8,65.34,23.8,0,0,,0,0,13.7,12.8,240
04/01/2021 21:00,22,72.85,22,0,0,,0,0,11.5,5.3,70
04/01/2021 22:00,20.1,81.65,20.1,0,0,,0,0,11.9,5.3,190
04/01/2021 23:00,19,82.78,19,0,0,,0,0,11.2,3.5,210
05/01/2021 00:00,18.9,88.2,18.9,0,0,,0,0,10.1,7.4,230
05/01/2021 01:00,17.1,93.16,17.1,0,0,,0,0,10.1,5.3,260
05/01/2021 02:00,17.8,94.32,17.8,0,0,,0,0,9.7,3.5,270
05/01/2021 03:00,17.1,98.34,17.1,0,0,,0,0,7.9,5.3,270
05/01/2021 04:00,17,99.27,17,0,0,,0,0,6.5,1.8,50
05/01/2021 05:00,17.1,99.28,17.1,0,0,,0,0,5.4,3.5,80
05/01/2021 06:00,16.1,98.81,16.1,0,0,,0,0,6.1,1.8,40
05/01/2021 07:00,17,99.04,17,0,0,,0,0,6.8,3.5,30
05/01/2021 08:00,19,93.88,19,0,0,,0,0,9.7,3.5,20
05/01/2021 09:00,20.9,88.17,20.9,0,0,,0,0,11.5,5.3,240
05/01/2021 10:00,22.1,77.74,22.1,0,0,,0,0,12.6,5.3,170
05/01/2021 11:00,23.1,68.19,23.1,0,0,,0,0,14,12.8,220
05/01/2021 12:00,24.1,53.5,24.1,0,0,,0,0,15.8,11,220
05/01/2021 13:00,25,54.44,25,0,0,,,0,16.9,12.8,240
05/01/2021 14:00,26.9,44.87,27,0,0,,,0,17.3,16.3,240
05/01/2021 15:00,25.9,58.03,25.9,0,0,,,0,17.3,18.1,250
05/01/2021 16:00,26,61.16,26,0,0,,,0,18.4,20.2,230
05/01/2021 17:00,26.1,60.55,26.1,0,0,,,0,18.4,22,230
05/01/2021 18:00,24.8,57.75,24.8,0,0,,0,0,17.6,18.1,220
05/01/2021 19:00,24,60.33,24,0,0,,0,0,16.6,20.2,230
05/01/2021 20:00,22.9,64.82,22.9,0,0,,0,0,14.8,12.8,230
05/01/2021 21:00,20.9,69.89,20.9,0,0,,0,0,15.1,12.8,220
05/01/2021 22:00,20.1,77.73,20.1,0,0,,0,0,15.1,14.5,210
05/01/2021 23:00,19.8,82.98,19.8,0,0,,0,0,14.8,16.3,210
06/01/2021 00:00,19,88.25,19,0,0,,0,0,13.7,11,180
06/01/2021 01:00,18.1,92.85,18.1,0,0,,0,0,12.6,9.2,200
06/01/2021 02:00,17.8,93.71,17.8,0,0,,0,0,10.8,3.5,80
06/01/2021 03:00,17,92.82,17,0,0,,0,0,9.4,0,0
06/01/2021 04:00,17,94.34,17,0,0,,0,0,9.4,1.8,110
06/01/2021 05:00,16,98.84,16,0,0,,0,0,10.8,5.3,10
06/01/2021 06:00,16.9,94.59,16.9,0,0,,0,0,12.2,5.3,110
06/01/2021 07:00,17.8,89.71,17.8,0,0,,0,0,12.6,1.8,100
06/01/2021 08:00,19.1,92.86,19.1,0,0,,0,0,14.4,5.3,190
06/01/2021 09:00,20.1,87.11,20.1,0,0,,0,0,17.3,12.8,200
06/01/2021 10:00,22.1,76.43,22.1,0,0,,0,0,19.4,14.5,230
06/01/2021 11:00,23.2,68.56,23.2,0,0,,0,0,20.9,18.1,240
06/01/2021 12:00,24.1,64.3,24.1,0,0,,0,0,22,20.2,240
06/01/2021 13:00,25,64.92,25,0,0,,,0,22.7,22,240
06/01/2021 14:00,25,64.1,25,0,0,,,0,23,29.1,240
06/01/2021 15:00,24.9,64.35,24.9,0,0,,,0,23.4,25.5,240
06/01/2021 16:00,24.9,57.67,24.9,0,0,,,0,24.1,23.7,230
06/01/2021 17:00,24.1,63.93,24.1,0,0,,,0,25.2,25.5,240
