,Date,time,TP,Load,Datetime
0,2021-01-01,00:00:00,1,23.41916666666667,2021-01-01 00:00:00
1,2021-01-01,00:30:00,2,23.409000000000002,2021-01-01 00:30:00
2,2021-01-01,01:00:00,3,22.638666666666666,2021-01-01 01:00:00
3,2021-01-01,01:30:00,4,22.132666666666665,2021-01-01 01:30:00
4,2021-01-01,02:00:00,5,22.240166666666667,2021-01-01 02:00:00
5,2021-01-01,02:30:00,6,22.060142857142857,2021-01-01 02:30:00
6,2021-01-01,03:00:00,7,21.562,2021-01-01 03:00:00
7,2021-01-01,03:30:00,8,21.675166666666666,2021-01-01 03:30:00
8,2021-01-01,04:00:00,9,21.7925,2021-01-01 04:00:00
9,2021-01-01,04:30:00,10,21.732583333333334,2021-01-01 04:30:00
10,2021-01-01,05:00:00,11,21.6155,2021-01-01 05:00:00
11,2021-01-01,05:30:00,12,21.9115,2021-01-01 05:30:00
12,2021-01-01,06:00:00,13,22.364500000000003,2021-01-01 06:00:00
13,2021-01-01,06:30:00,14,22.701999999999998,2021-01-01 06:30:00
14,2021-01-01,07:00:00,15,23.456333333333333,2021-01-01 07:00:00
15,2021-01-01,07:30:00,16,24.858833333333333,2021-01-01 07:30:00
16,2021-01-01,08:00:00,17,25.5725,2021-01-01 08:00:00
17,2021-01-01,08:30:00,18,26.0855,2021-01-01 08:30:00
18,2021-01-01,09:00:00,19,26.777833333333334,2021-01-01 09:00:00
19,2021-01-01,09:30:00,20,27.52116666666667,2021-01-01 09:30:00
20,2021-01-01,10:00:00,21,27.462833333333332,2021-01-01 10:00:00
21,2021-01-01,10:30:00,22,28.019833333333334,2021-01-01 10:30:00
22,2021-01-01,11:00:00,23,28.57166666666667,2021-01-01 11:00:00
23,2021-01-01,11:30:00,24,28.7775,2021-01-01 11:30:00
24,2021-01-01,12:00:00,25,29.27342857142857,2021-01-01 12:00:00
25,2021-01-01,12:30:00,26,29.384,2021-01-01 12:30:00
26,2021-01-01,13:00:00,27,29.782666666666668,2021-01-01 13:00:00
27,2021-01-01,13:30:00,28,29.422,2021-01-01 13:30:00
28,2021-01-01,14:00:00,29,29.645166666666668,2021-01-01 14:00:00
29,2021-01-01,14:30:00,30,29.73314285714286,2021-01-01 14:30:00
30,2021-01-01,15:00:00,31,29.909333333333333,2021-01-01 15:00:00
31,2021-01-01,15:30:00,32,29.9325,2021-01-01 15:30:00
32,2021-01-01,16:00:00,33,30.016833333333334,2021-01-01 16:00:00
33,2021-01-01,16:30:00,34,30.08966666666667,2021-01-01 16:30:00
34,2021-01-01,17:00:00,35,30.089166666666667,2021-01-01 17:00:00
35,2021-01-01,17:30:00,36,29.9315,2021-01-01 17:30:00
36,2021-01-01,18:00:00,37,28.580333333333332,2021-01-01 18:00:00
37,2021-01-01,18:30:00,38,27.780571428571427,2021-01-01 18:30:00
38,2021-01-01,19:00:00,39,26.763333333333332,2021-01-01 19:00:00
39,2021-01-01,19:30:00,40,26.61785714285714,2021-01-01 19:30:00
40,2021-01-01,20:00:00,41,25.394833333333334,2021-01-01 20:00:00
41,2021-01-01,20:30:00,42,25.339,2021-01-01 20:30:00
42,2021-01-01,21:00:00,43,25.621333333333336,2021-01-01 21:00:00
43,2021-01-01,21:30:00,44,25.416,2021-01-01 21:30:00
44,2021-01-01,22:00:00,45,24.35383333333333,2021-01-01 22:00:00
45,2021-01-01,22:30:00,46,23.6725,2021-01-01 22:30:00
46,2021-01-01,23:00:00,47,23.7075,2021-01-01 23:00:00
47,2021-01-01,23:30:00,48,22.779833333333332,2021-01-01 23:30:00
48,2021-01-02,00:00:00,1,22.787875,2021-01-02 00:00:00
49,2021-01-02,00:30:00,2,22.690875,2021-01-02 00:30:00
50,2021-01-02,01:00:00,3,21.941833333333335,2021-01-02 01:00:00
51,2021-01-02,01:30:00,4,21.564333333333334,2021-01-02 01:30:00
52,2021-01-02,02:00:00,5,21.079666666666668,2021-01-02 02:00:00
53,2021-01-02,02:30:00,6,21.210666666666665,2021-01-02 02:30:00
54,2021-01-02,03:00:00,7,21.1905,2021-01-02 03:00:00
55,2021-01-02,03:30:00,8,21.197333333333333,2021-01-02 03:30:00
56,2021-01-02,04:00:00,9,21.041,2021-01-02 04:00:00
57,2021-01-02,04:30:00,10,21.387666666666664,2021-01-02 04:30:00
58,2021-01-02,05:00:00,11,21.446833333333334,2021-01-02 05:00:00
59,2021-01-02,05:30:00,12,21.525666666666666,2021-01-02 05:30:00
60,2021-01-02,06:00:00,13,21.598166666666668,2021-01-02 06:00:00
61,2021-01-02,06:30:00,14,21.568166666666666,2021-01-02 06:30:00
62,2021-01-02,07:00:00,15,22.301666666666666,2021-01-02 07:00:00
63,2021-01-02,07:30:00,16,23.03633333333333,2021-01-02 07:30:00
64,2021-01-02,08:00:00,17,23.84,2021-01-02 08:00:00
65,2021-01-02,08:30:00,18,24.852833333333333,2021-01-02 08:30:00
66,2021-01-02,09:00:00,19,24.858833333333333,2021-01-02 09:00:00
67,2021-01-02,09:30:00,20,26.003500000000003,2021-01-02 09:30:00
68,2021-01-02,10:00:00,21,26.48183333333333,2021-01-02 10:00:00
69,2021-01-02,10:30:00,22,26.695833333333336,2021-01-02 10:30:00
70,2021-01-02,11:00:00,23,27.563166666666664,2021-01-02 11:00:00
71,2021-01-02,11:30:00,24,27.796666666666667,2021-01-02 11:30:00
72,2021-01-02,12:00:00,25,28.09183333333333,2021-01-02 12:00:00
73,2021-01-02,12:30:00,26,28.076999999999998,2021-01-02 12:30:00
74,2021-01-02,13:00:00,27,28.0925,2021-01-02 13:00:00
75,2021-01-02,13:30:00,28,28.4705,2021-01-02 13:30:00
76,2021-01-02,14:00:00,29,28.206,2021-01-02 14:00:00
77,2021-01-02,14:30:00,30,27.977333333333334,2021-01-02 14:30:00
78,2021-01-02,15:00:00,31,28.277,2021-01-02 15:00:00
79,2021-01-02,15:30:00,32,27.855333333333334,2021-01-02 15:30:00
80,2021-01-02,16:00:00,33,27.158,2021-01-02 16:00:00
81,2021-01-02,16:30:00,34,27.142,2021-01-02 16:30:00
82,2021-01-02,17:00:00,35,27.03916666666667,2021-01-02 17:00:00
83,2021-01-02,17:30:00,36,26.50922222222222,2021-01-02 17:30:00
84,2021-01-02,18:00:00,37,26.288714285714285,2021-01-02 18:00:00
85,2021-01-02,18:30:00,38,26.525000000000002,2021-01-02 18:30:00
86,2021-01-02,19:00:00,39,26.286166666666663,2021-01-02 19:00:00
87,2021-01-02,19:30:00,40,25.430333333333333,2021-01-02 19:30:00
88,2021-01-02,20:00:00,41,25.6405,2021-01-02 20:00:00
89,2021-01-02,20:30:00,42,25.81833333333333,2021-01-02 20:30:00
90,2021-01-02,21:00:00,43,25.866833333333332,2021-01-02 21:00:00
91,2021-01-02,21:30:00,44,25.395833333333332,2021-01-02 21:30:00
92,2021-01-02,22:00:00,45,24.3565,2021-01-02 22:00:00
93,2021-01-02,22:30:00,46,24.214166666666667,2021-01-02 22:30:00
94,2021-01-02,23:00:00,47,23.419666666666668,2021-01-02 23:00:00
95,2021-01-02,23:30:00,48,22.766666666666666,2021-01-02 23:30:00
